filename,width,height,class,xmin,ymin,xmax,ymax
img_3965_jpg.rf.c2dff0e93106d81985134daf9ffd4db3.jpg,640,480,talking to passenger,92,55,554,453
img_636_jpg.rf.c566112ef3b0d11ecf6a6576a3a4e676.jpg,640,480,texting,51,20,471,446
img_1702_jpg.rf.c2df8bef092b185626526e74cdf2f307.jpg,640,480,hair and makeup,107,57,463,321
img_108_jpg.rf.c3e58fda216d0d02aaa429aa480cae3e.jpg,640,480,hair and makeup,16,25,596,421
img_4177_jpg.rf.c3e8e3f40d03b9d7391e869214862877.jpg,640,480,texting,47,61,489,479
img_1536_jpg.rf.c50c2d2eaa3e2fcc0fa8434c149c4333.jpg,640,480,operating the radio,180,75,639,442
img_502_jpg.rf.c29dc30e210464793331cc54844affee.jpg,640,480,talking on the phone,102,51,572,449
img_67090_jpg.rf.c28c8ccffde0a6cccf43bbe26c9cf1cf.jpg,640,480,safe driving,49,45,588,443
img_101561_jpg.rf.c24a863e7f6d2d395c6a90133850b3e9.jpg,640,480,operating the radio,60,4,639,479
img_3004_jpg.rf.c43e55abdf21d9e66d0db9102050c240.jpg,640,480,drinking,32,59,488,474
img_101349_jpg.rf.c4d12d1b2a55b2756a7c6ed9d98840ef.jpg,640,480,talking on the phone,30,24,587,466
img_502_jpg.rf.c5815b1a0c7112cfde55f8f5fc90c90a.jpg,640,480,talking on the phone,91,34,585,462
img_54_jpg.rf.c5274fb033e00019a7748e34f7fe345a.jpg,640,480,talking to passenger,41,0,551,432
img_102088_jpg.rf.c3f0ad9b7310677c6fb62375b9a0fbae.jpg,640,480,reaching behind,12,53,573,429
img_337_jpg.rf.c4482fd36edfa29128f1815ef3fb41ae.jpg,640,480,talking to passenger,82,0,525,427
img_92468_jpg.rf.c4eb51bece17b6645b294e5ccbab1072.jpg,640,480,safe driving,99,73,583,412
img_4116_jpg.rf.c3db96bdb597b8b96859b2cbfbe45c76.jpg,640,480,texting,103,60,610,403
img_569_jpg.rf.c34e8fdfb08f9f3d244d3dd08de2e4af.jpg,640,480,texting,93,25,533,463
img_1053_jpg.rf.c60a0519093980f9bf44ffb36263840a.jpg,640,480,safe driving,79,0,520,414
img_443_jpg.rf.c571703f899243d79d48877e4150e5c9.jpg,640,480,operating the radio,211,57,638,430
img_101905_jpg.rf.c26838334c4448e7e3bf508a5747930a.jpg,640,480,reaching behind,90,0,639,479
img_101944_jpg.rf.c3e734d3a8c5c5afca98fde69bbf9e61.jpg,640,480,drinking,98,62,563,442
img_2511_jpg.rf.c24fad3287fa755d47dda77062cb7e21.jpg,640,480,reaching behind,76,33,611,479
img_1016_jpg.rf.c67c12f4d96542992944505ed3afbb33.jpg,640,480,operating the radio,89,23,639,479
img_1062_jpg.rf.c617d19c5ef7e5538465c14a90362ea4.jpg,640,480,hair and makeup,146,1,599,408
img_68450_jpg.rf.c54dae7df112ca4279e6b6905a09e020.jpg,640,480,safe driving,0,1,593,479
img_792_jpg.rf.c677c2a0099bfd51b08445e188e9044a.jpg,640,480,reaching behind,0,39,596,475
img_494_jpg.rf.c512d896a87938f12442e776878472fe.jpg,640,480,talking on the phone,96,15,639,459
img_621_jpg.rf.c545b42d36d7fbd3448dc0b8b1a68dcb.jpg,640,480,operating the radio,198,65,639,407
img_81_jpg.rf.c6981a5eff3c4ec5df9852bac2eeddf6.jpg,640,480,reaching behind,127,26,639,378
img_101526_jpg.rf.c6b0b0fdf8307853eecf6497b369c81c.jpg,640,480,operating the radio,172,43,639,479
img_1295_jpg.rf.c6a27bd4c9b5835a6e2f89557dd54d9f.jpg,640,480,texting,95,72,559,379
img_3004_jpg.rf.c6b0be80d87afc8794647935dfb61740.jpg,640,480,drinking,2,23,592,479
img_2962_jpg.rf.c69c4802f620023c2e51093acfe124fe.jpg,640,480,talking on the phone,78,66,477,407
img_1621_jpg.rf.c6eda1df7bd50a3c8d31013aa3fc52ec.jpg,640,480,talking on the phone,47,25,512,377
img_3686_jpg.rf.c72fcfe56c100b5b1620d3c3b57d398e.jpg,640,480,operating the radio,179,47,635,442
img_124_jpg.rf.c758340e9075def4e54510a4a1333e78.jpg,640,480,drinking,45,7,545,466
img_4732_jpg.rf.c7cbfe32d3bd7c35e7c87eab52201db2.jpg,640,480,reaching behind,33,63,630,479
